Municipality,Family,Population,meta
ახმეტა ,0.2738,0.3023,საარსებო შემწეობის მიმღებთა პროცენტული წილი  მთელ მოსახლეობასთან
ახალქალაქი ,0.0585,0.0684,თიანეთი
ამბროლაური ,0.2621,0.3367,ახმეტა
დუშეთი ,0.1859,0.2793,
ქედა ,0.3449,0.4852,
შუახევი ,0.2138,0.3789,
ხულო ,0.2537,0.4309,
ყაზბეგი ,0.2119,0.293,
ონი ,0.4083,0.4911,
ლენტეხი ,0.2717,0.5123,
ცაგერი ,0.2971,0.4133,
მესტია ,0.5645,0.7418,
ნინოწმინდა ,0.0904,0.1182,
თიანეთი ,0.1495,0.2511,
თბილისი ,0.1455,0.1217,
საქართველო,0.1674,0.1786,
